Sample,Unique Aliquot ID,Aliquot Type,Number of Thaws,Freezer Section,Freezer Alias,Freezer Name,Position 1,Position 2,Position 3,Position 4,Pull Box,Pull Pos.,sample_type,type
CIT_616_V1,119459,1.5 ml urine,0,CITRC 2,CITRC sm urine 3035,11 Johnny KRI#11,1,3,1,1,4,33,Urine,Urine Sup
CIT_618_V1,119755,1.5 ml urine,0,CITRC 2,CITRC sm urine 3035,11 Johnny KRI#11,1,3,1,19,4,36,Urine,Urine Sup
CIT_619_V1,133352,1.5 ml urine,0,CITRC 2,CITRC sm urine 3035,11 Johnny KRI#11,1,3,1,25,4,37,Urine,Urine Sup
CIT_627_V1,146881,1.5 ml urine,0,CITRC 2,CITRC sm urine 3035,11 Johnny KRI#11,1,3,1,67,4,44,Urine,Urine Sup
CIT_635_V1,155974,1.5 ml urine,0,CITRC 2,CITRC sm urine 3036,11 Johnny KRI#11,1,3,2,43,4,53,Urine,Urine Sup
CIT_639_V1,157110,1.5 ml urine,0,CITRC 2,CITRC sm urine 3037,11 Johnny KRI#11,1,3,3,1,4,59,Urine,Urine Sup
CIT_641_V1,158790,1.5 ml urine,0,CITRC 2,CITRC sm urine 3037,11 Johnny KRI#11,1,3,3,7,4,60,Urine,Urine Sup
CIT_642_V1,163856,1.5 ml urine,0,CITRC 2,CITRC sm urine 3037,11 Johnny KRI#11,1,3,3,25,4,63,Urine,Urine Sup
CIT_648_V1,169755,1.5 ml urine,0,CITRC 2,CITRC sm urine 3037,11 Johnny KRI#11,1,3,3,61,4,69,Urine,Urine Sup
CIT_651_V1,177769,1.5 ml urine,0,CITRC 2,CITRC sm urine 3038,11 Johnny KRI#11,1,3,4,7,4,73,Urine,Urine Sup
CIT_654_V1,199130,1.5 ml urine,0,CITRC 2,CITRC sm urine 3038,11 Johnny KRI#11,1,3,4,31,4,77,Urine,Urine Sup
CIT_660_V1,213440,1.5 ml urine,0,CITRC 2,CITRC sm urine 3038,11 Johnny KRI#11,1,3,4,55,4,81,Urine,Urine Sup
CIT_664_V1,225836,1.5 ml urine,0,CITRC 2,CITRC sm urine 3038,11 Johnny KRI#11,1,3,4,73,5,3,Urine,Urine Sup
CIT_665_V1,228982,1.5 ml urine,0,CITRC 2,CITRC sm urine 3039,11 Johnny KRI#11,1,3,5,4,5,5,Urine,Urine Sup
CIT_666_V1,237813,1.5 ml urine,0,CITRC 2,CITRC sm urine 3039,11 Johnny KRI#11,1,3,5,16,5,7,Urine,Urine Sup
CIT_667_V1,239349,1.5 ml urine,0,CITRC 2,CITRC sm urine 3039,11 Johnny KRI#11,1,3,5,27,5,8,Urine,Urine Sup
CIT_669_V1,264874,1.5 ml urine,0,CITRC 2,CITRC sm urine 3039,11 Johnny KRI#11,1,3,5,40,5,10,Urine,Urine Sup
CIT_670_V1,265626,1.5 ml urine,0,CITRC 2,CITRC sm urine 3039,11 Johnny KRI#11,1,3,5,46,5,11,Urine,Urine Sup
CIT_672_V1,267257,1.5 ml urine,0,CITRC 2,CITRC sm urine 3039,11 Johnny KRI#11,1,3,5,70,5,15,Urine,Urine Sup
CIT_673_V1,269992,1.5 ml urine,0,CITRC 2,CITRC sm urine 3039,11 Johnny KRI#11,1,3,5,81,5,16,Urine,Urine Sup
CIT_676_V1,296755,1.5 ml urine,0,CITRC 2,CITRC sm urine 3040,11 Johnny KRI#11,1,3,6,25,5,21,Urine,Urine Sup
CIT_677_V1,297159,1.5 ml urine,0,CITRC 2,CITRC sm urine 3040,11 Johnny KRI#11,1,3,6,37,5,23,Urine,Urine Sup
CIT_682_V1,304571,1.5 ml urine,0,CITRC 2,CITRC sm urine 3040,11 Johnny KRI#11,1,3,6,61,5,27,Urine,Urine Sup
CIT_688_V1,311536,1.5 ml urine,0,CITRC 2,CITRC sm urine 3041,11 Johnny KRI#11,1,3,7,36,5,32,Urine,Urine Sup
CIT_695_V1,312396,1.5 ml urine,0,CITRC 2,CITRC sm urine 3041,11 Johnny KRI#11,1,3,7,61,5,37,Urine,Urine Sup
CIT_700_V1,315486,1.5 ml urine,0,CITRC 2,CITRC sm urine 3042,11 Johnny KRI#11,1,3,8,13,5,42,Urine,Urine Sup
CIT_702_V1,317148,1.5 ml urine,0,CITRC 2,CITRC sm urine 3042,11 Johnny KRI#11,1,3,8,25,5,44,Urine,Urine Sup
CIT_703_V1,317541,1.5 ml urine,0,CITRC 2,CITRC sm urine 3042,11 Johnny KRI#11,1,3,8,31,5,45,Urine,Urine Sup
CIT_706_V1,320625,1.5 ml urine,0,CITRC 2,CITRC sm urine 3042,11 Johnny KRI#11,1,3,8,73,5,50,Urine,Urine Sup
CIT_709_V1,323030,1.5 ml urine,0,CITRC 2,CITRC sm urine 3043,11 Johnny KRI#11,1,3,9,18,5,53,Urine,Urine Sup
CIT_711_V1,325813,1.5 ml urine,0,CITRC 2,CITRC sm urine 3043,11 Johnny KRI#11,1,3,9,25,5,55,Urine,Urine Sup
CIT_715_V1,331376,1.5 ml urine,0,CITRC 2,CITRC sm urine 3043,11 Johnny KRI#11,1,3,9,49,5,59,Urine,Urine Sup
CIT_714_V1,331602,1.5 ml urine,0,CITRC 2,CITRC sm urine 3043,11 Johnny KRI#11,1,3,9,55,5,60,Urine,Urine Sup
CIT_720_V1,334444,1.5 ml urine,0,CITRC 2,CITRC sm urine 3044,11 Johnny KRI#11,1,3,10,31,5,69,Urine,Urine Sup
CIT_722_V1,336868,1.5 ml urine,0,CITRC 2,CITRC sm urine 3044,11 Johnny KRI#11,1,3,10,55,5,73,Urine,Urine Sup
CIT_726_V1,339390,1.5 ml urine,0,CITRC 2,CITRC sm urine 3044,11 Johnny KRI#11,1,3,10,73,5,76,Urine,Urine Sup
CIT_727_V1,339616,1.5 ml urine,0,CITRC 2,CITRC sm urine 3045,11 Johnny KRI#11,1,3,11,1,5,77,Urine,Urine Sup
CIT_728_V1,341113,1.5 ml urine,0,CITRC 2,CITRC sm urine 3045,11 Johnny KRI#11,1,3,11,7,5,78,Urine,Urine Sup
CIT_729_V1,344621,1.5 ml urine,0,CITRC 2,CITRC sm urine 3045,11 Johnny KRI#11,1,3,11,19,5,80,Urine,Urine Sup
CIT_730_V1,351063,1.5 ml urine,0,CITRC 2,CITRC sm urine 3045,11 Johnny KRI#11,1,3,11,37,6,2,Urine,Urine Sup
CIT_731_V1,351269,1.5 ml urine,0,CITRC 2,CITRC sm urine 3045,11 Johnny KRI#11,1,3,11,43,6,3,Urine,Urine Sup
CIT_734_V1,357596,1.5 ml urine,0,CITRC 2,CITRC sm urine 3045,11 Johnny KRI#11,1,3,11,73,6,8,Urine,Urine Sup
CIT_735_V1,357825,1.5 ml urine,0,CITRC 2,CITRC sm urine 3046,11 Johnny KRI#11,1,3,12,1,6,9,Urine,Urine Sup
CIT_738_V1,363405,1.5 ml urine,0,CITRC 2,CITRC sm urine 3046,11 Johnny KRI#11,1,3,12,37,6,15,Urine,Urine Sup
CIT_739_V1,365478,1.5 ml urine,0,CITRC 2,CITRC sm urine 3046,11 Johnny KRI#11,1,3,12,46,6,16,Urine,Urine Sup
CIT_742_V1,370375,1.5 ml urine,0,CITRC 2,CITRC sm urine 3046,11 Johnny KRI#11,1,3,12,52,6,17,Urine,Urine Sup
CIT_751_V1,386132,1.5 ml urine,0,CITRC 2,CITRC sm urine 3047,11 Johnny KRI#11,1,3,13,48,6,28,Urine,Urine Sup
CIT_759_V1,395454,1.5 ml urine,0,CITRC 2,CITRC sm urine 3048,11 Johnny KRI#11,1,3,14,25,6,36,Urine,Urine Sup
CIT_757_V1,395591,1.5 ml urine,0,CITRC 2,CITRC sm urine 3048,11 Johnny KRI#11,1,3,14,31,6,37,Urine,Urine Sup
CIT_762_V1,395874,1.5 ml urine,0,CITRC 2,CITRC sm urine 3048,11 Johnny KRI#11,1,3,14,55,6,41,Urine,Urine Sup
CIT_767_V1,398907,1.5 ml urine,0,CITRC 2,CITRC sm urine 3049,11 Johnny KRI#11,1,3,15,1,6,45,Urine,Urine Sup
CIT_771_V1,401730,1.5 ml urine,0,CITRC 2,CITRC sm urine 3049,11 Johnny KRI#11,1,3,15,37,6,51,Urine,Urine Sup
CIT_765_V1,401867,1.5 ml urine,0,CITRC 2,CITRC sm urine 3049,11 Johnny KRI#11,1,3,15,43,6,52,Urine,Urine Sup
CIT_772_V1,403973,1.5 ml urine,0,CITRC 2,CITRC sm urine 3049,11 Johnny KRI#11,1,3,15,61,6,55,Urine,Urine Sup
CIT_773_V1,404272,1.5 ml urine,0,CITRC 2,CITRC sm urine 3049,11 Johnny KRI#11,1,3,15,67,6,56,Urine,Urine Sup
CIT_774_V1,404793,1.5 ml urine,0,CITRC 2,CITRC sm urine 3050,11 Johnny KRI#11,1,3,16,7,6,59,Urine,Urine Sup
CIT_777_V1,406229,1.5 ml urine,0,CITRC 2,CITRC sm urine 3050,11 Johnny KRI#11,1,3,16,19,6,61,Urine,Urine Sup
