"","Kit.ID","Parent.Sample","Volume","Box","Row","Col","Box.ID","Pos.ID","Sample.type"
"1","KL-0013539","S-2106-016333",500,"BX-00033017","G",5,"BX240152","E8","Urine"
"2","KL-0013589","S-1909-007475",500,"BX-00033018","E",3,"BX240153","C5","Urine"
"3","KL-0013590","S-2111-000527",500,"BX-00033017","G",7,"BX240152","G8","Urine"
"4","KL-0013591","S-2102-013873",500,"BX-00033017","F",1,"BX240152","G6","Urine"
"5","KL-0013595","S-2111-018572",500,"BX-00033017","H",1,"BX240152","B9","Urine"
"6","KL-0013596","S-1909-000367",500,"BX-00033018","D",9,"BX240153","H4","Urine"
"7","KL-0013597","S-2012-002336",500,"BX-00033017","E",5,"BX240152","B6","Urine"
"8","KL-0013598","S-2002-014023",500,"BX-00033017","D",2,"BX240152","F4","Urine"
"9","KL-0013599","S-2112-003334",500,"BX-00033017","H",8,"BX240152","A10","Urine"
"10","KL-0013600","S-1903-008438",500,"BX-00033018","C",9,"BX240153","G3","Urine"
"11","KL-0014982","S-2104-015502",500,"BX-00033017","F",8,"BX240152","F7","Urine"
"12","KL-0014994","S-2012-002334",500,"BX-00033017","E",3,"BX240152","H5","Urine"
"13","KL-0015030","S-2210-016742",500,"BX-00033018","A",5,"BX240152","H11","Urine"
"14","KL-0015046","S-1909-000211",500,"BX-00033018","D",8,"BX240153","G4","Urine"
"15","KL-0015209","S-2102-005440",500,"BX-00033017","E",9,"BX240152","F6","Urine"
"16","KL-0015217","S-1903-006130",500,"BX-00033017","A",1,"BX240152","A1","Urine"
"17","KL-0015218","S-1909-008117",500,"BX-00033018","E",5,"BX240153","E5","Urine"
"18","KL-0015219","S-1903-008438",500,"BX-00033017","A",2,"BX240152","B1","Urine"
"19","KL-0015220","S-1903-008873",500,"BX-00033018","D",5,"BX240153","D4","Urine"
"20","KL-0015221","S-2209-001612",500,"BX-00033018","A",4,"BX240152","G11","Urine"
"21","KL-0015222","S-2111-018336",500,"BX-00033017","G",8,"BX240152","H8","Urine"
"22","KL-0015223","S-2112-002863",500,"BX-00033017","H",4,"BX240152","E9","Urine"
"23","KL-0015230","S-2310-015484",500,"BX-00033018","B",8,"BX240153","D2","Urine"
"24","KL-0015232","S-2401-001806",500,"BX-00033018","C",2,"BX240153","G2","Urine"
"25","KL-0015233","S-2012-002335",500,"BX-00033017","E",4,"BX240152","A6","Urine"
"26","KL-0015234","S-1903-008981",500,"BX-00033017","A",9,"BX240152","A2","Urine"
"27","KL-0015830","S-2306-003495",500,"BX-00033018","B",2,"BX240153","F1","Urine"
"28","KL-0015859","S-2104-015501",500,"BX-00033017","F",7,"BX240152","E7","Urine"
"29","KL-0015860","S-1909-008171",500,"BX-00033018","E",6,"BX240153","F5","Urine"
"30","KL-0016133","S-2112-003098",500,"BX-00033017","H",6,"BX240152","G9","Urine"
"31","KL-0016176","S-2304-011575",500,"BX-00033018","A",8,"BX240153","C1","Urine"
"32","KL-0016177","S-1912-003188",500,"BX-00033018","F",2,"BX240153","C6","Urine"
"33","KL-0016801","S-2102-013899",500,"BX-00033017","F",2,"BX240152","H6","Urine"
"34","KL-0016802","S-2303-007162",500,"BX-00033018","A",6,"BX240153","A1","Urine"
"35","KL-0016804","S-2104-015499",500,"BX-00033017","F",5,"BX240152","C7","Urine"
"36","KL-0016808","S-2112-002744",500,"BX-00033017","H",3,"BX240152","D9","Urine"
"37","KL-0018941","S-2112-004042",500,"BX-00033017","I",5,"BX240152","G10","Urine"
"38","KL-0018942","S-1912-002456",500,"BX-00033018","F",1,"BX240153","B6","Urine"
"39","KL-0019025","S-2310-015523",500,"BX-00033018","B",9,"BX240153","E2","Urine"
